"Nombre","Apellido","Edad","Documento","Ciudad","Pais","Idioma","Tipo"
"Esteban","","50","9492637062","Estepona","Togo","Deutsch","COMPANY"
"Ariadna","","62","9232249131","Bilbao","Mexico","Português","COMPANY"
"Ana María","","77","9577754360","Benidorm","Bahrain","Deutsch","COMPANY"
"Lucia","Sauceda","61","8817078634","El Ejido","Somalia","Italiano","PERSON"
"Gerardo","","19","9746332677","Sevilla","Australia","Italiano","COMPANY"
"Roberto","","32","9206382412","Lugo","Brunei Darussalam","English","COMPANY"
"Javier","","74","9049810121","San Fernando","France","Français","COMPANY"
"Yolanda","","36","9763377220","San Sebastían de los Reyes","Iran (Islamic Republic of)","Deutsch","COMPANY"
"Gustavo","","66","9068712545","Majadahonda","Bosnia and Herzegovina","Italiano","COMPANY"
"Andrea","Delgadillo","11","14445237","Rivas-Vaciamadrid","Sao Tome and Principe","English","PERSON"
