"Nombre","Apellido","Edad","Documento","Ciudad","Pais","Idioma","Tipo"
"Sergio","Alfaro","52","386378830","Puertollano","Sri Lanka","Français","PERSON"
"Pablo","Coronado","34","193680572","Manresa","Syrian Arab Republic","Deutsch","PERSON"
"Diego","","37","9588638698","Málaga","Chad","English","COMPANY"
"Lucas","Bétancourt","60","010238198","Mataró","Sierra Leone","Português","PERSON"
"Felipe","","70","9268393845","Pamplona","Lebanon","Português","COMPANY"
"Carlota","","23","9701859364","Jaén","Maldives","Français","COMPANY"
"Lorenzo","","78","9545606240","Badajoz","Italy","English","COMPANY"
"Florencia","Pichardo","14","16977405","Castellón de la Plana","Lesotho","Italiano","PERSON"
"Agustín","","72","9444100627","Jerez de la Frontera","Qatar","Português","COMPANY"
"Emilia","","71","9038810582","Salamanca","Indonesia","Português","COMPANY"
"Miguel Ángel","","51","9964304771","Motril","Ghana","English","COMPANY"
"Andrés","","71","9505490133","Zaragoza","Malta","English","COMPANY"
"Juana","Altamirano","12","13722204","Gerona","Nepal","Deutsch","PERSON"
"Juan","Gaitán","23","11589224032","San Fernando","Switzerland","Deutsch","PERSON"
"Julio César","Reséndez","70","21222608282","Linares","Ireland","Deutsch","PERSON"
"Eloisa","Cabán","12","18066289","El Puerto de Santa María","Ghana","English","PERSON"
"Ignacio","","60","9861758022","Alcalá de Henares","Equatorial Guinea","Français","COMPANY"
"Carmen","","34","9552033575","Salamanca","Lebanon","English","COMPANY"
"Juan","","35","9437185436","Inca","Belize","Deutsch","COMPANY"
"Marcela","","12","9731482195","San Sebastían de los Reyes","Morocco","Italiano","COMPANY"
